work_ref,is_open,days_open,p_complete_horizon,hazard,hazard_pct,rs_exposure
MP3017373-W284,True,1125.0,0.25187017471332906,0.4869360638729177,0.12196784190691179,55735.671983856984
MP3017373-W285,True,1125.0,0.25184723438352963,0.4868846094915712,0.12163784362864194,57233.686569659985
MP3017373-W286,True,1125.0,0.25187017471332906,0.4869360638729177,0.12196784190691179,55735.671983856984
MP3018981-W286,True,915.0,0.4075615074757464,0.8560972809887081,0.39641880129321067,592131.0169466336
MP3017373-W287,True,1125.0,0.25187017471332906,0.4869360638729177,0.12196784190691179,55735.671983856984
MP3018981-W287,True,915.0,0.5561358324596792,1.3282573134980684,0.656065272702925,575780.598133304
MP3017373-W288,True,1125.0,0.25187017471332906,0.4869360638729177,0.12196784190691179,55735.671983856984
MP3019039-W288,True,913.0,0.20533694725215124,0.3742256161062964,0.074617871558931,393358.21111018513
MP3017373-W289,True,1125.0,0.25187017471332906,0.4869360638729177,0.12196784190691179,55735.671983856984
MP3017373-W290,True,1125.0,0.29925411373995314,0.596733262586519,0.1898757484743558,52205.56852637349
MP3017447-W290,True,913.0,0.4597661915031336,1.0025824980004148,0.48229487498326096,210367.04502867977
MP3017373-W291,True,1125.0,0.29925411373995314,0.596733262586519,0.1898757484743558,52205.56852637349
MP3017373-W292,True,1125.0,0.25187017471332906,0.4869360638729177,0.12196784190691179,55735.671983856984
MP3017373-W293,True,1125.0,0.25187017471332906,0.4869360638729177,0.12196784190691179,55735.671983856984
